,parentId,authorDisplayName,replyComment,publishedAt,likeCount
0,UgxKPQrDty81Wu7HCVZ4AaABAg,LaraCroftEyes1,Scamber has no strong personality.,2020-09-09T00:02:31Z,5
1,UgxKPQrDty81Wu7HCVZ4AaABAg,Dindin,"@zoedarc what i meant to say she has strong personality. Not ""strong"" in the context you're describing. I might have use the wrong word",2020-08-14T11:35:39Z,0
2,UgxKPQrDty81Wu7HCVZ4AaABAg,zoedarc,She's not strong because it takes strength to be gentle and kind,2020-08-12T22:44:29Z,3
3,Ugx9ruuGcuDAnrMrTOt4AaABAg,LaraCroftEyes1,"No, Amber abused him when the cameras were off.",2020-09-09T00:03:03Z,3
4,UgxIHziARzzGVsd6gON4AaABAg,Sara Doka,"Yeah, it shows things.....",2021-10-13T11:48:55Z,1
5,UgwTIjP2TXsb82Jjjth4AaABAg,Sandra Pisa,"No claro q no eran tiempos felices. No notó que ella lo manotea con fuerza a ambos , pero a JD lo empuja con más fuerza?
Según ella los maltratos empezaron desde un inicio y q fueron años lo que soportó. 
Dicen q a las personas se les conoce en situaciones donde sus emociones están a flor de piel.",2021-01-07T16:13:48Z,0
6,UgwTIjP2TXsb82Jjjth4AaABAg,LaraCroftEyes1,"EZ, ez zen.",2020-09-09T00:05:11Z,0
7,UgzPqrFCPKQZEuzo58d4AaABAg,Paola,"Hahah! I agree with the first part too tho, she obviously is mentally ill and needs help. But there’s so much empathy you can have for someone who knows they’re mentally ill and instead of bettering themselves, they act like bigger pieces of shit (and shit the bed) to people who don’t deserve it.",2020-07-16T13:31:52Z,0
8,UgwpdWU8ULj-B7Fmc4t4AaABAg,Mike McGomer,@Mea re And dont ever take a Bj from one of them they will tell everyone..,2021-02-17T03:33:38Z,0
9,UgwpdWU8ULj-B7Fmc4t4AaABAg,Mike McGomer,"@Mea re Im sure, I just had some bad experiences..",2021-02-16T19:41:04Z,0
10,UgzVIlToWQnSksudSQR4AaABAg,A3 Decks,I remember clear as day. I also remember the crew that do these overhauls are normally super content with making a person happy with a car reveal. Now they were clearly less enthusiastic.,2020-11-11T11:34:08Z,1
11,UgzVIlToWQnSksudSQR4AaABAg,Vanessa Viola,Ohh I member,2020-07-12T03:29:36Z,3
12,Ugx2yaEITR3HF2PQ-Cl4AaABAg,x h,You see when she bear him ?,2020-05-18T17:31:06Z,2
13,Ugyw3_Yi60QkVHvoVlB4AaABAg,Latifa Moumen,"@hawa jane
I think this was sarcasm.",2020-07-17T16:38:27Z,2
14,Ugyw3_Yi60QkVHvoVlB4AaABAg,Nikolaj Hansen,that aged well,2020-05-27T09:06:03Z,2
15,Ugyw3_Yi60QkVHvoVlB4AaABAg,angelicaca,Wow,2020-04-02T05:25:07Z,0
16,Ugyw3_Yi60QkVHvoVlB4AaABAg,hawa jane,Until she clocks you and shits in your bed mate,2020-03-26T22:20:16Z,24
17,Ugyw3_Yi60QkVHvoVlB4AaABAg,Sterling Silver,🤔,2020-03-24T01:36:58Z,2
18,Ugyd14SmrbLbiIEfQGN4AaABAg,DoublEss,Kink>red flag xD,2021-04-25T10:27:51Z,0
19,Ugyd14SmrbLbiIEfQGN4AaABAg,Vipin,who does this to their father?? cringed,2021-03-03T09:22:12Z,2
20,UgxuWNolCD0mDLE_rch4AaABAg,John,There's probably footage of it.. This is all edited by the show that made the prank. But I'm sure they have inside recording of their own.,2020-05-26T04:46:57Z,0
21,UgxuWNolCD0mDLE_rch4AaABAg,hawa jane,LOL!!!,2020-03-26T22:18:10Z,0
22,UgyaIzCqnZE3dEuWYYt4AaABAg,LaraCroftEyes1,She abused Johnny.,2020-02-10T02:48:49Z,21
23,Ugxd9-afs638FOJkhD14AaABAg,Daniel Mazz,@eleanor mason I heard about it already thx it's just hard to tell the truth of who to believe please subscribe to my you tube,2020-05-15T20:49:10Z,1
24,Ugxd9-afs638FOJkhD14AaABAg,Daniel Mazz,Please explain,2020-04-23T16:52:05Z,1
25,UgzDLfDhcasa0A4iUyJ4AaABAg,Zal,its never too late to this comment,2021-10-04T21:41:15Z,0
26,UgzDLfDhcasa0A4iUyJ4AaABAg,Nikolaj Hansen,that aged well,2020-05-27T09:06:11Z,2
27,UgzDLfDhcasa0A4iUyJ4AaABAg,LaraCroftEyes1,Amber is a narcissist abusive bitch.,2020-03-13T20:01:28Z,7
28,UgzDLfDhcasa0A4iUyJ4AaABAg,Little Lulu,Still love her now?,2020-02-08T09:09:06Z,14
29,Ugz5mSoXVSPUhuSEcO14AaABAg,Mieka Ash,Simpkins is a good name for you.,2020-07-24T20:16:33Z,3
30,Ugz5mSoXVSPUhuSEcO14AaABAg,Latifa Moumen,I think you mean hoax.,2020-07-17T16:39:00Z,5
31,Ugz5mSoXVSPUhuSEcO14AaABAg,LaraCroftEyes1,She is an abuser and she abused Johnny.,2020-02-10T02:49:47Z,7
32,UgyOhB7qypIehNCfHXt4AaABAg,Sara Roberts,Looks fade. Black hearts are forever.,2020-03-18T15:43:46Z,13
33,UgyOhB7qypIehNCfHXt4AaABAg,LaraCroftEyes1,But ugly on the inside.,2020-02-10T02:50:03Z,19
34,Ugz9AKvL5S1r83zxpUF4AaABAg,T.,@Enamorate Hermosa are you living under a rock!?!?She abused Johnny Depp broke two of his fingers left him unconscious on the floor and lied.Mind you even her exes have all said she’s abusive,2021-05-08T14:08:53Z,0
35,Ugz9AKvL5S1r83zxpUF4AaABAg,bri bitch,@Enamorate Hermosa girl your GRAMMAR,2021-02-17T01:48:06Z,0
36,Ugz9AKvL5S1r83zxpUF4AaABAg,Icha Adelio,@Enamorate Hermosa she is bitch,2020-08-12T18:10:15Z,7
37,Ugz9AKvL5S1r83zxpUF4AaABAg,Queen A,@Enamorate Hermosa she is..,2020-08-06T02:58:21Z,8
38,Ugz9AKvL5S1r83zxpUF4AaABAg,sar oct,@Enamorate Hermosa shes not human shes a turd,2020-07-29T16:12:51Z,10
39,UgxWfejeKqPVYgCtdO94AaABAg,T.,Bruh there is proof that she abused Johnny,2021-05-08T14:15:30Z,0
40,UgxWfejeKqPVYgCtdO94AaABAg,Chris,"Hi, foot. Meet, mouth.",2020-09-26T11:20:29Z,1
41,UgxWfejeKqPVYgCtdO94AaABAg,NIBS,"Sorry, but the Court disagrees with you. In 2016 Amber Heard LOST the domestic abuse case, which the Judge DISMISSED WITH PREJUDICE--meaning he found the case to be ""egregiously flawed and without merit"", and Ms. Heard can NEVER bring a domestic abuse case against Mr. Depp in the future. All this information is in the public domain. Try reading something FACTUAL before regurgitating tabloid nonsense. The current lawsuits will just put Ms. Heard behind bars where she belongs.",2020-03-13T19:19:32Z,11
42,UgxWfejeKqPVYgCtdO94AaABAg,LaraCroftEyes1,Nope Amber the manic.,2020-02-29T16:33:12Z,9
43,UgxWfejeKqPVYgCtdO94AaABAg,Mia,Did not happen she is a big liar. She abused him. There are evidence for this.,2020-02-29T12:03:59Z,13
44,UgyuMMR8mEtvi8OqGix4AaABAg,Chocolate Evans,That ho had NO MILLIONS at the time. Johnny did!,2020-03-21T04:53:04Z,3
45,UgyuMMR8mEtvi8OqGix4AaABAg,Jim Gagne,"And that's why it's off the air.   But come on ! it is so fun watching rich people that can have everything get free stuff,  their people too ....HaAhahahaha ! life is Awesome ! If you struggle your hole life and try the best you can to take care of your family and sacrifice your own dreams, well that just means your a stupid loser ! HAhahahaha !",2019-12-18T23:16:09Z,2
46,UgiaZtkLxzZd8HgCoAEC,Chocolate Evans,She couldn't then! She was nobody trailer trash until she got with 500 million dollar Johnny Depp!,2020-03-21T04:51:44Z,5
