,parentId,authorDisplayName,replyComment,publishedAt,likeCount
0,UgxO7B588J5ZJS6ENxB4AaABAg,JR,"I wish, the sun aka the scum prints so much shit about people, I've never read it for way over 18 years",2021-05-12T18:08:51Z,0
1,Ugxrz5ippJJbanDo7Fd4AaABAg,Metal Mellie,How you figure that? You mofo's had me thinking something had actually happened in Johnny's favor ALLREADY!!!,2021-05-20T19:41:52Z,0
2,UgwBj-nDXR4TrbmSS_t4AaABAg,John Christopher Depp Private ,"i want to specially appreciate you for been a big fan in such critical times and as a show of gratitude i'll be giving only a selected few of my top fans the opportunity of sending me a direct message via email using my private email and you've been randomly  selected and please be sure to include your name when writing me because i don't entertain vague messages.
johnchriistopherdepp@gmail.com",2021-05-10T11:41:00Z,0
3,UgyMkMbk3pQ__UL-HDl4AaABAg,John Christopher Depp Private ,"its always a huge pleasure having time with my fans, most especially whenever I am in my free time, send me a dm to my email in the previous message. thanks",2021-05-10T19:58:24Z,1
4,UgyMkMbk3pQ__UL-HDl4AaABAg,angela Bender,@John Christopher Depp Private  im 100% respectful at all time. I respect peoples private lives and i mind my own business. I dont entertain vague people either lifes too short for that. If i dont hear from you thats ok just no i respect your multi talented career its been an honor to watch you evolve throughout the years. Johnny you are really a wonderful person who has done so many great things you have more humility integrity honesty and respect then any other actor in hollywood. If more men where like you the world 🌎 would be a better place. God bless you your heart and your wonderful family johnny.. Their are millions of people who support you keep fighting the good fight no matter what we no you are a honorable man. Take care Johnny,2021-05-10T16:52:09Z,0
5,UgyMkMbk3pQ__UL-HDl4AaABAg,John Christopher Depp Private ,"i want to specially appreciate you for been a big fan in such critical times and as a show of gratitude i'll be giving only a selected few of my top fans the opportunity of sending me a direct message via email using my private email and you've been randomly  selected and please be sure to include your name when writing me because i don't entertain vague messages.
johnchriistopherdepp@gmail.com",2021-05-10T11:41:13Z,1
6,UgzF3dpRMpbVkTIIYrZ4AaABAg,Noah Bodie,Gi Gi,2021-05-09T02:57:38Z,0
7,UgzGnJB427H5gOGPEuV4AaABAg,Lynnos Erb,@matthew morrison 😂😂🤣🤣🤣,2021-05-10T12:14:51Z,0
8,UgzGnJB427H5gOGPEuV4AaABAg,Lynnos Erb,@Marie Smith I hope so... I hope it doesn’t make it to millions of dollars,2021-05-10T11:43:12Z,0
9,UgzGnJB427H5gOGPEuV4AaABAg,Lynnos Erb,@matthew morrison but it’s sad it’s still going to make money,2021-05-10T05:34:15Z,0
10,UgzGnJB427H5gOGPEuV4AaABAg,Avani Shetty,@Lynnos Erb Marvel is owned by Disney and there is no way Disney would ever hire her. She gave them a lot of trouble back in 2020 and they would never hire her after that. Disney takes its reputation very seriously.. they would never associate themselves with someone who is being investiagted by Australia and the LAPD and lied about donating to charity.,2021-05-09T14:52:52Z,0
11,UgzGnJB427H5gOGPEuV4AaABAg,Lynnos Erb,@matthew morrison they still going to make money though that’s the sad part she also trying to be in marvel movies too,2021-05-09T00:27:06Z,0
12,Ugz0ddMyRHr-1hs1_DB4AaABAg,bad campa,A Long Mollusk in her fish market?   YIKES  no taa,2021-05-11T07:47:10Z,0
13,Ugz0ddMyRHr-1hs1_DB4AaABAg,kelkenkat,He didn't even believe her. She just has so many connections to him he knew he how he would rule before the hearings even began. Corrupt is an accurate description for Judge Nicol. Shame on him!!!,2021-05-10T13:06:16Z,6
14,UgzAQ4MQb3MPzEidLr94AaABAg,hi love,"I like that idea, however; if jail she won't make the money he deserves in damages. Let her continue working. Only to let him lay claim on her pay check before she gets it.  It's disgusting what she has done. Lesson learned. Now pay thru the nose. If abused LEAVE. HURT NO ONE. JUST LEAVE.",2021-05-17T19:39:38Z,1
15,UgyE7ejYSeyyhQOBVmB4AaABAg,JOHNNY DEPP,"💓Thanks for your utmost love and support which has brought me this far. It has been a hard time for me but your support has got me standing even in difficult times. I can't appreciate enough the support of fans who have been really active with issues relating to me...Private message on telegram @johnnydeppllofficial
  

      💓 Much Love ❤️",2021-05-10T01:28:41Z,0
16,Ugxx0UHkvHhCJMDimZJ4AaABAg,Noah Bodie,it has taken every shread ooof me not tt kill many YOU ALL T GODDD I GET HIGH NUMB INSTEAD,2021-05-09T03:08:46Z,0
17,UgziimoGjYGqJ3vIY3t4AaABAg,Lux Estrella,"Love-bombing phase where amber must have act all sweet, caring and loving to Johnny",2021-05-15T18:30:26Z,1
18,UgziimoGjYGqJ3vIY3t4AaABAg,Sierra Parker,Physical beauty. She has that...but that's it/She is so U*LY inside..,2021-05-12T18:32:25Z,1
19,UgwN5knnmpxTTsvtQnd4AaABAg,sunny sunshine,@serina delmar you watch they will ignore what I put or tell me to read the sun articles as evidence lol,2021-05-12T19:15:25Z,1
20,UgwN5knnmpxTTsvtQnd4AaABAg,serina delmar,@sunny sunshine well said. #JusticeForJohnnyDepp,2021-05-12T18:53:06Z,1
21,UgwN5knnmpxTTsvtQnd4AaABAg,sunny sunshine,"@dbreiden83080 you obviously can't read properly. She lost in court in 2016! The judge threw it out because she had no actual evidence. It's not about popularity it's about justic. Let me ask you why is she refusing to hand over her medical and police records? She stated that she has all these evidence but yet she has nothing. Medical records would be proof especially with broken bones that she claimed to have. 
Let me ask you why does her versions keep changing constantly?
Let me ask you if him being a drunk and on drugs makes him abuser, so why not her as she admitted in court what drugs she has done and pics on her sm shows how much drink she loves.
Who said I can't promise not to get physical and that I get so mad that I lose it sometimes ?
Who said you're a baby as you ALWAYS split when we fight?
Who claimed that you can pick up achair on a plane and throw it? Which is impossible?
Why would 4 police officers lie?
Why would building staff lie?
Did the police body cam show any evidence to their stories and what was said under oath? Because it doesn't at all. And I stated where the lies were on that one which you ignored.
Who took pics of lamps, walls, piece's of cut hair, part of the bed frame that got broken, but no pics of her actual injuries and don't tell me the edited pics that were used in the sun as they are edited and I've seen the original photos. None show no swelling either. Her face would have swelled like a balloon because of his rings and you can't fix a broken nose by yourself either. 
Who claimed about being dragged over broken glass but again no scars on her feet as she claimed her feet got hurt by the broken glass, no medical records once again as a doctor would had to make sure no glass was left in the cuts and be treated for no infections and she would have struggled to walk but saw photos of her walking in the airport when she had to fly home oh and was driving which would have been impossible btw with those kinds of injuries.
Who claimed that she has never seen one of his films but has been at one of their film premier's before they knew one another?
Who claimed to have donated millions to a children's hospital but lied about it and gave me nothing?
Who lied about volunteering in that same hospital for years but lied about it? as that hospital stated they can show them a round and give them a tour, hmmm if they've been volunteering all these years they wouldn't need that and would be very well known to the hospital administration staff as there are precautions that need to be in place to do anything like that, you can't just turn up and say I'm going to volunteer.
Who tried to forged documents about the dogs vaccination and brought them to another country where that could have been dangerous to their animals.?
Who mocked the Australian government on sm quite a lot about the dogs and disrespected the whole country?
Who ended up in hospital from an injury?
Who gets other actors and directors saying nothing but nice things about them ? Whilst the other one has had no one that has said nice things about them.
Which one has all their ex's come out to defend their ex and call out the lies?
Which one again has been arrested for DV? 
Which one claimed they had a broken nose, split lip, bruised/broken ribs but that next day was scrunching up her nose and mouth wide open which would have caused so much pain that it would have shown their face and the split lip would have started to bleed, also she leaned on James with her ribs which again would have been too painful. Even to breathe would have caused them to be in too much agony and what did they do a few days after go tubing on the ocean! And run about on the sand and rolling around and no injuries what so ever.

It's truly amazing how all of her witnesses are the only ones that were living rent free in his penthouses as she has no other witnesses whatsoever it's not like she has police, doctors, nurses, building staff or anyone that she worked with that has agreed with her and been on her side.

You are very delusional thinking people are only doing this because of who's famous and popularity contest. It's a lot more most people have read the actual court documents, witness statements since 2016 until now and nothing adds up. Most people don't agree on an innocent man being falsely accused and have their life ruined.
Being an alcoholic and doing drugs doesn't make someone being physically abusive especially as he has suffered most of his life with that and yet the one person that has claimed anything is her. Again she an alcoholic and a druggy as well so she must be an abuser because she does the same thing. 

If you want to prove people wrong then tell us where her actual evidence is like x-rays and other medical records, police agreeing with her, photos that aren't just little bruises especially as there's been photos of her since they've divorced with her with bruises and cracked lips. Show ones with her face looks swollen, ones that doesn't say edited like it did in court, show us versions that she stated what happened in 2016 and hasn't completely changed since now. Show us proof that she actually donated any kind of money to the children hospital and ACLU that wasn't from Depp and musk. Show us proof that she didn't lie about not having a car and wasn't allowed to drive. Show us proof how make up can completely cover up black eyes and a broken nose from the following day being attacked as it is impossible especially as make up can't cover swelling!
Anyone that thinks it's ok to lie about sick kids just so they don't get classed as a gold digger and get a better reputation is sick in the head that money could have helped so many kids that she promised to help but gave nothing and ignored and don't you dare say she has a ten yr plan because the chla knows nothing about that and with ACLU she has given them nothing as well. Don't lie about kids. If you think that is acceptable behaviour and nothing wrong, well that says alot about your character.",2021-05-12T15:48:50Z,1
22,UgwN5knnmpxTTsvtQnd4AaABAg,dbreiden83080,"@Rose Jericho 

Congrats..   But don't be stupid enough to sue claiming 100% innocence of DV when that is on the record..   Makes you look guilty AF..",2021-05-12T09:51:43Z,0
23,UgwN5knnmpxTTsvtQnd4AaABAg,dbreiden83080,"@sunny sunshine 

Talking about how she also used drugs does NOT get Depp off..

Talking about how she also hit him does NOT get Depp off..

Talking about how she is a lousy person does NOT get Depp off..

This is NOT a popularity contest it is a lawsuit.   Nobody is trying to put Depp in prison for anything.   He is losing because there is no way he can prove there is zero chance that he was ever violent with her.   His texts. his testimony, his own employee in texts admitted that he assaulted her..   That's why he lost the case and the appeal.   Heard can be flawed up the ying yang all that is left is a case of 2 likely fucked up people that never should have got married..   Depp needs to move the hell on already..   His lawyers are stealing his money.   He is never going to fully clear his name when he already lost twice in the UK..  Hollywood wants nothing to do with him anymore.   Can you blame them?",2021-05-12T09:44:54Z,0
24,UgymqvIz6LOopO2Pb2N4AaABAg,Maxine Warnest,@Annette May That was a scammer. Not Johnny.,2021-05-13T09:39:20Z,1
25,UgymqvIz6LOopO2Pb2N4AaABAg,Michael Keaton,"@Annette MayThanks for the beautiful words Annette❤️...I will love to create a warm atmosphere where I can get your opinions and interest about my movies. Are you on telegram? You can look me up on my personal account on telegram and send me a message @johnnydeppllofficial


❤️Much Love and Stay Safe ❤️",2021-05-11T05:20:18Z,0
26,UgymqvIz6LOopO2Pb2N4AaABAg,Annette May,@Michael Keaton 💜,2021-05-09T09:45:53Z,0
27,Ugy2YStkHIcMFNmc7YB4AaABAg,bad campa,Spam-ba  Turd  hates you,2021-05-11T07:48:38Z,1
28,UgzR7DUEMhSPkKmgz7t4AaABAg,Michael Keaton,"💓Thanks for your utmost love and support which has brought me this far. It has been a hard time for me but your support has got me standing even in difficult times. I can't appreciate enough the support of fans who have been really active with issues relating to me...Private message on telegram @johnnydeppllofficial
  

      💓 Much Love ❤️",2021-05-08T17:15:11Z,0
29,Ugx5JnjZrPRafEA3weB4AaABAg,JR,"She shows her contempt! By eating while giving evidence, a full narcissistic BPD",2021-05-12T18:07:41Z,1
30,Ugx5JnjZrPRafEA3weB4AaABAg,Stefanie Jones,@Laura Peterson I agree!  She has no etiquette.  My Great Grandmother once told me you can't buy class.  I have watched so many people and their body language.  I just don't know why she is getting away with it.  I don't care who a person is and if I like them.  If he did it I wouldn't stick up for him.  He didn't so he has my full support.  I know few famous have stood up for him but more need too.,2021-05-09T07:25:26Z,0
31,Ugx5JnjZrPRafEA3weB4AaABAg,Laura Peterson,"When I was a Paralegal, I advised every client of proper Court etiquette. Stuffing your face is not proper, even for innocent parties, which this toxic snake is not.",2021-05-09T06:36:46Z,3
32,UgxpVxEroXPtxHd24Bp4AaABAg,Kerry Fryer,With what’s in the works over here in Australia it may happen sooner.,2021-05-08T12:20:01Z,4
33,UgwUDyyeS8FWY0fw0vN4AaABAg,danielle patterson,@marianna sanfilippo you do know he doesn't really have a wife right lindsey depp. Is just a fan,2021-05-12T10:06:02Z,2
34,UgwUDyyeS8FWY0fw0vN4AaABAg,Maree Keay,@marianna sanfilippo your welcome! 😊,2021-05-11T22:14:40Z,2
35,UgwUDyyeS8FWY0fw0vN4AaABAg,marianna sanfilippo,@Maree Keay Thanks for letting me know you're great.,2021-05-11T15:38:33Z,1
