,parentId,authorDisplayName,replyComment,publishedAt,likeCount
0,Ugz15-R1Xi-BItjKK3F4AaABAg,Inma Lopez,@Osito Enojado ni Dip 😂😂😂,2020-02-24T12:01:33Z,0
1,Ugz15-R1Xi-BItjKK3F4AaABAg,Osito Enojado,"Y Depp, no Deep",2020-02-11T04:36:09Z,2
2,UgwQa_ehAgE96FmzyK14AaABAg,Moises Flores Morales,"@8_bit 8_bit  no solo los que a los productores de Disney, les importa la vida privada, que su talento por su profesión. Por eso lo despidieron.",2020-02-10T09:59:51Z,0
3,UgwQa_ehAgE96FmzyK14AaABAg,8_bit 8_bit,Peeo fue culpa de ella no nos hagamos los pendejos,2020-02-09T08:36:48Z,1
4,Ugzn53Yl8u87n2u7uz54AaABAg,TheckChalup,y eso que tiene de hipocrecia??,2020-02-07T22:29:28Z,0
5,Ugzn53Yl8u87n2u7uz54AaABAg,Carlos Gerardo Días,Que tiene de hipócrita que pasa el pack de Amber? XD,2020-02-07T22:01:36Z,0
6,Ugz8nJ74L5RkYctF0NR4AaABAg,darkness55,"Lämp no lo viste porque no había lugar a dudas, le quitaron el papel, aquí dudan porque todavía creen con todo lo que ha salido que ella puede ser inocente por ser mujer, ella debería ser cancelada se inmediato como lo hicieron con él",2020-02-08T17:08:11Z,3
7,UgycwoMfy0hjF1OOj614AaABAg,na gol,"Tendrían que contratar una doble de trasero ya que amber se le ve mas grande en traje, aunque no se que tan bien actúe scarlett.",2020-02-07T10:51:49Z,0
8,UgxrYWp-baNsQX4nkC14AaABAg,betmanjacv87,Eso y más merece la desgraciada 😤,2020-02-21T18:07:21Z,0
9,Ugxeagu1Df_Jj6Gv5hV4AaABAg,Marcy Diaz,"No dijeron ni hicieron lo mismo con Jonny, a quién le cerraron las puertas y le quitaron uno de sus personajes más icónicos. Ella, por todo lo que hizo y por mentir acerca de ello, debería sufrir lo mismo.",2020-02-08T18:08:34Z,0
10,UgwBn6NPTnv3tRAKwMt4AaABAg,Rey Arturo Negro,"es un feministo no intentes racionalizar con ellos, están muy adoctrinados, son muy narcisistas la verdad significa que están equivocados y su gigantesco ego no les permite, por ultimo son betas por quedar bien con una feminista se arrastraran como gusano para tener sexo, son gente de mente muy  primitiva.
Tristemente tienen éxito(por que se reproducen no por el sexo)  por que las mujeres tampoco son un premio es mas son peores que estas alimañas,  por ello prefiero morir como hombre solo que ser  una cucaracha rastrera/escarabajo  recoge mierda(feministas)",2020-02-14T06:12:57Z,0
11,UgxcR4ExMaCQJaZobil4AaABAg,Jesus De Nazaret,"@Miguel Mendoza lo mismo dije con Depp pero no todos piensan lo mismo, y prefieren involucrarse en la vida privada de los famosos, y tirarles hate por cualquier cosa.",2020-02-08T02:29:50Z,0
12,UgxcR4ExMaCQJaZobil4AaABAg,TheckChalup,"no sabes como funciona esto, verdad??",2020-02-07T22:42:07Z,0
13,UgxcR4ExMaCQJaZobil4AaABAg,Miguel Mendoza,Si lo mismo para depp y como le fue a el se vio seriamente afectado lo mas justo seria q a ella la despidan lo condenaron mediaticamente,2020-02-07T15:59:44Z,0
14,UgykLJhAr8hu5UKANLl4AaABAg,ARCATETO,gisselle vici Si 😌,2020-02-06T00:53:50Z,0
15,UgyY9uMDvjYnuVGoqLZ4AaABAg,Gaspar Alonzo Pech,@Carolina normalmente nunca se castiga a las mujeres en estos casos,2020-02-06T12:54:11Z,0
