,parentId,authorDisplayName,replyComment,publishedAt,likeCount
0,UgzYVmle387wcnyVNNp4AaABAg,Rock Candy,i think one thing that would be important in the court case is proving the metadata was doctored by an expert,2021-07-30T08:13:36Z,0
1,UgxKf-CTivmM3c3n-HV4AaABAg,Sue,LOVE the Behaviour Panel. Especially Mark 🥰,2021-07-27T08:59:23Z,2
2,UgxKf-CTivmM3c3n-HV4AaABAg,Jules Carlysle,"Oh, you got that one :)",2021-07-27T05:55:37Z,1
3,UgxKf-CTivmM3c3n-HV4AaABAg,Jules Carlysle,"OH! and another thing...LOL...Les, you are talking about AH not being shaken up: I notice many of her behaviours are directly opposite to my experiences and how I reacted to my ex...goading? challenging? instigating? WHOA! I couldn't look up for fear of how he would react...and my abuse pales in comparison to her tales. It's been exactly one year since I left, and I'm feeling pretty great...but my cleaning lady tapped the sink basket on the side of the garbage can last week and I startled -- scaring her -- I had to be peeled off of the ceiling and was rendered useless for 24hrs. It's visceral, involuntary and requires time...She is so BAD at this. How is she getting away with it? I'll stop now...I'm really on a tear!",2021-07-27T05:44:29Z,1
4,UgxKf-CTivmM3c3n-HV4AaABAg,Jules Carlysle,"OH! while I was writing, another qualifier came up ""to my recollection, yes"" -- Sorry Josh...you just disavowed your own statement with a qualifier. Come on People...Learn to lie effectively. I'm embarrassed for all of them.",2021-07-27T05:30:59Z,1
5,Ugxm2UlaGxgLJbk4N6t4AaABAg,Rock Candy,that's the size she likes to drink,2021-07-26T18:49:30Z,1
6,UgzW1UwLRTn-4LL4IoR4AaABAg,Christine Lloyd,The  barn witch is known to abuse alcohol and drugs.,2021-07-26T09:17:52Z,0
7,UgzYgIvk2HOzvOG3nZ94AaABAg,Rock Candy,@JSSTyger not going to happen...lol..ok he didn't want the dogs to get out but could he have invited the police inside instead of shutting the door in their faces?  can someone explain no wine on the walls and then Isaac sees wine running down the walls??  anyway it's no worries  - i'm so happy for Johnny for this footage that was hidden and now we know why.,2021-07-27T00:13:41Z,0
8,UgzYgIvk2HOzvOG3nZ94AaABAg,JSSTyger,@Rock Candy Please try to look at things from an alternate viewpoint (ie Josh keeping the door partly closed so the dogs don't get out).,2021-07-26T23:39:12Z,0
9,UgzYgIvk2HOzvOG3nZ94AaABAg,Rock Candy,I could also mention Amber is a grandiose liar.  She lied in interviews and on tv saying she had donated to children's hospital (and ACLU) for years she received clout from those lies.  She donated NOTHING.  It takes a certain type of person to lie about donating money to sick and terminally ill children and their doctors and families.  And she smiled to herself on tv as she said it - because she duped the public.  She is that type of person - the type of person who would frame somebody for money and revenge.,2021-07-26T23:08:44Z,0
10,UgzYgIvk2HOzvOG3nZ94AaABAg,Rock Candy,"@JSSTyger i think it vindicates Johnny. the footage clearly shows the entire outside hallway with no wine stains and no damage to door - plus we see that Josh tries not to let the officers in the penthouse.  then we see everyone on the couch (chatting) and the dogs running around.  Amber is not introducing herself or explaining what happened and no obvious bruises for identifcation.  There are at least two wine bottles sitting undisturbed and delicate glass table and bar intact, the flowers are on the kitchen counter, no broken candlabras,  no garbage bags with evidence of cleaning, everything sitting on the counter in perfect order.  Also there are no pictures of damage in PH3 of fruit, cutlery on floor and whatnot.  You can't clean like that and style items in such short time after traumatic event not to mention Amber was on the phone with her publicist and her lawyer (i think).  plus the photos they took have changed metadata and don't really match their descriptions of incident.     If you take Isaac's testimony he said the wine was *running down* the wall by penthouse 1.  That's not shown in the police bodycam - and had to have been set up just before he came up the elevator and just after police had left..it's clear Amber and co. were framing johnny - the reason is that Amber wanted to get the locks changed and she needed the police to show up to get a restraining order - but she didn't need them or want them to go inside penthouse or interview her.  The second set of police caught them by surprise and offguard. She wanted leverage in the divorce she didn't realize she would be going to court at that time and wasn't as careful with her ""evidence"" as she should have been.",2021-07-26T22:56:23Z,0
