,parentId,authorDisplayName,replyComment,publishedAt,likeCount
0,UgxRCcMgU_6CqbQEwCd4AaABAg,Ren Kaidou - Production,osef,2020-12-27T02:09:00Z,0
1,Ugw-guDmhDbEaXal5E14AaABAg,Anonyme 3.0,@Quentthe 1- normal grosse merde t'es un 2010 qui est la juste parce que tu connais Fortnite vas dormir,2020-07-24T18:33:53Z,0
2,Ugw-guDmhDbEaXal5E14AaABAg,Quentthe 1-,non pas moi,2020-07-24T18:30:32Z,0
3,Ugw-guDmhDbEaXal5E14AaABAg,Anonyme 3.0,Personne tout le monde as déjà vus ce film,2020-07-24T18:28:37Z,1
4,Ugx82rz5pWJCtFV7HF94AaABAg,C'est le J C'est le S,1000 abonné sans Video ok je m'abo,2020-07-21T17:05:26Z,1
5,Ugx82rz5pWJCtFV7HF94AaABAg,Mickael Bourillon,MEDLOC c fait,2020-07-21T16:28:06Z,0
6,Ugx82rz5pWJCtFV7HF94AaABAg,C'est le J C'est le S,1000 abonné sans Video tu t'abo je m'abo,2020-07-20T03:22:59Z,0
7,UgyvXcAiaO7QsmGMWcJ4AaABAg,Anonyme 3.0,@Lucky dylan tgl c'est de la merde fortnite point cherche pas petit 2010,2020-08-02T23:56:25Z,0
8,UgyvXcAiaO7QsmGMWcJ4AaABAg,mariama sylla,Calmez vous ont n’as jamais demandé à personne es-ce que ils s’ont content ou pas,2020-08-02T20:28:39Z,0
9,UgyvXcAiaO7QsmGMWcJ4AaABAg,Anonyme 3.0,@Lucky dylan quelle mauvaise humeur tu as 12 ans max casse toi putain,2020-07-24T23:40:55Z,0
10,UgyvXcAiaO7QsmGMWcJ4AaABAg,Anonyme 3.0,Personne Fortnite c'est de la merde tout le monde a déjà vus le film,2020-07-24T18:29:24Z,0
11,UgyvXcAiaO7QsmGMWcJ4AaABAg,Ren Kaidou - Production,"DRX FOOT  Fortnite détruit tous les super héros que ce soit de Marvel ou de DC Comics.. Parce qu’avec votre commu cancer qui n’y connaît rien en super-héros, vous dites de la merde à propos d’eux.",2020-07-24T13:43:15Z,1
12,Ugx8yXVGxW0qgj_GtrF4AaABAg,Xerox 24,@Ren Kaidou - Production je parle pas de toi,2020-07-26T20:45:40Z,0
13,Ugx8yXVGxW0qgj_GtrF4AaABAg,Ren Kaidou - Production,Xerox 24 non,2020-07-26T20:41:05Z,0
14,Ugx8yXVGxW0qgj_GtrF4AaABAg,Xerox 24,Tg,2020-07-26T20:37:10Z,0
15,Ugx8yXVGxW0qgj_GtrF4AaABAg,Anonyme 3.0,Fortnite c'est de la merde tout le monde a déjà vus le film,2020-07-24T18:29:42Z,0
16,Ugx8yXVGxW0qgj_GtrF4AaABAg,Ren Kaidou - Production,"乚ㄨ尺刀 { F*ck love }  Fortnite détruit tous les super héros que ce soit de Marvel ou de DC Comics.. Parce qu’avec votre commu cancer qui n’y connaît rien en super-héros, vous dites de la merde à propos d’eux.",2020-07-24T13:43:28Z,0
