,parentId,authorDisplayName,replyComment,publishedAt,likeCount
0,Ugxldk6WxopkmwIUPW94AaABAg,Gamma Gamma,I subbed on both on my profiles!,2020-12-12T13:39:33Z,0
1,Ugxldk6WxopkmwIUPW94AaABAg,The Vast,"Stumbled apon this, was not dissapointed, an internet news source, my friends need to know about this",2020-11-19T06:19:49Z,1
2,Ugxldk6WxopkmwIUPW94AaABAg,thegreat one,@Spencer Chappell well this wasn’t really a video on her case more of a summary of the aftershocks so..,2020-11-16T20:24:14Z,0
3,Ugxldk6WxopkmwIUPW94AaABAg,Arctic badger,Left tube just asked me if I was satisfied with your channel notifications & why/for what reason 🤔🤨(maybe it’s just my suspicious mind thinking the worst but I doubt it🤦‍♂️) just thought you aught to know 🤗,2020-11-16T03:41:22Z,0
4,Ugxldk6WxopkmwIUPW94AaABAg,Spiky2999,There's one with more then 1 million signatures @TheQuartering,2020-11-16T00:44:14Z,0
5,UgzCs-9x7GtTn2Px2tx4AaABAg,gameing house,Sorry pardon my French,2020-12-03T06:17:36Z,0
6,UgzWkN7nnZuf-8r9YPt4AaABAg,Luffy Ichigo,Not cool bro. Not cool,2020-11-29T11:09:28Z,0
7,Ugw_JHLxFbBZ1ChKzkJ4AaABAg,Beefcake Sasquatch,P.s. Amelia Clark would make a WAY better Mera.  Long live the dragon queen!,2020-11-26T01:45:07Z,0
8,UgxQ1ivA27gWdoT3NXd4AaABAg,Junelle Salmon,Actually it’s almost at its mark of 1.5 million. My phone didn’t update it,2020-11-21T05:01:30Z,0
9,Ugwk8lcr4TnczX-MHoN4AaABAg,SazRob,Ambuser 😳,2020-12-08T13:39:30Z,0
10,Ugy4QGpoLTN0_PXMy3x4AaABAg,Krieger,Kal Drogo Intensifies,2021-01-03T12:22:13Z,0
11,Ugy4QGpoLTN0_PXMy3x4AaABAg,Anakin Vader,@Makta972 same way you can't spell... roasted,2020-12-18T02:28:56Z,0
12,Ugy4QGpoLTN0_PXMy3x4AaABAg,Makta972,What ?! Emilai can't act lol. Worst actress ever,2020-12-18T02:24:11Z,1
13,Ugy4QGpoLTN0_PXMy3x4AaABAg,Christine Musselman,@Louisfred Rivera But the aneurysm was a while ago and has been treated.,2020-12-06T00:17:53Z,2
14,Ugy4QGpoLTN0_PXMy3x4AaABAg,Christine Musselman,Agree 1000%! We already know she and Jason have great chemistry.,2020-12-06T00:16:33Z,1
15,UgyVRz1cfUz20oYalop4AaABAg,Roshane Damon,Haha thats a good one,2020-11-17T18:24:52Z,0
16,UgzBFC8YC-0tnNVXHWx4AaABAg,Vegeta Saiyajin,"It was but she seems to surpass a new kind of crazy every time, it's just shocking.",2020-11-19T19:24:58Z,2
17,UgzhNXVhxmisdvQrtFx4AaABAg,cal t,"Eeew look, An Amber.",2020-12-11T17:34:05Z,0
18,UgzhNXVhxmisdvQrtFx4AaABAg,ItsReallyRosa,Amber can be a young Karen 😎,2020-12-11T13:30:25Z,1
19,UgzhNXVhxmisdvQrtFx4AaABAg,Aharon Patterson,Amber Karen?,2020-12-05T14:52:43Z,1
20,UgzNHiMzH1V1IrRhPmJ4AaABAg,BrandTheMan,@Tyler Kincade I'll probably just watch it on some site a few months after it releases and is easily pirated,2020-11-16T22:45:37Z,0
21,UgyYjX4nwDVgHNtZHt54AaABAg,Joker WonderWoman,"I completely agree with you. I was looking forward to the 1st one, especially because it came out on my birthday. But when I found out she was in it, I lost interest. 
I don't support DV, and I refuse to see anything with her in it.",2020-11-16T10:30:05Z,1
22,Ugz6SHWqbYVyoLabBWp4AaABAg,Ebro S,@Denyse Coop Most people honestly don’t give a shit or even follow Twitter drama. My guess is the movie with only lose about 10% of the audience.,2020-11-16T07:32:09Z,0
23,Ugz6SHWqbYVyoLabBWp4AaABAg,Denyse Coop,"If that’s the case, Jason should refuse to make the movie unless Amber is removed. Do you really think after all of the controversy they would want to lose him too? I don’t think so! I felt sorry for him at first too, but I grew up in Orange County, and I have friends who are in the business, and after discussing it with them, we all came to the same conclusion. I’m boycotting the movie, and I’m not going to have any regrets...",2020-11-16T07:29:50Z,0
24,UgxmX6frIgN6Lo1J5vx4AaABAg,Veronica Franco,"If I was a die hard fan, I'd pirate it off the internet but won't spend money on it!",2020-12-29T06:51:09Z,0
25,UgylWGC1NTpCs8aEkr94AaABAg,Matt IsAsleep,They boycott will be fully operational when the trailer arrives,2020-11-17T19:15:03Z,0
26,UgylWGC1NTpCs8aEkr94AaABAg,harshavardhan shinde,Yes we Indians successfully did it with all bollywood movie and now the celebs are afraid to release their movie or trailer you can search the dislike of sadak2 and Laxmmi bomb these celebs just begged and these things will go on,2020-11-17T11:36:22Z,3
27,UgwCd0fx7YGIHdrVCVt4AaABAg,Laurent de backer,"Never mind, i already found and signed it!",2020-11-15T23:27:19Z,0
28,UgzGDuWtheGmYABRvgZ4AaABAg,Lord Zordid,It shows that people thankfully aren't complete idiots and they have resonable skeptical minds.,2020-11-15T12:41:55Z,0
29,UgzB_6Vylu8_fmL6NHR4AaABAg,BES,"@Tyler Kincade because their private lives shouldn't be public, I don't give a shit about their private lives, do you tell everyone on facebook about every move you make or every bad thing you have done? ..It not their business to know, why should it be anyone elses business what they did? ..it causes problems for everyone, because it's public it costed WB shitloads of money and embarrassment and now two movies get ruined that I wanted to see and probably other people wanted to see also, everyone hate both actors and its a major shit show, just because it's public..",2020-11-17T01:29:23Z,0
30,Ugw4bU9zpH-q7eagoEV4AaABAg,Barbados,I would LOVE to see her and Jason Mamoa on screen together again.  Oh man.  WARNER BRO NERDS: THAT IS WHAT IS CALLED CHEMISTRY.,2020-11-15T07:46:08Z,0
31,UgwmhjdsKiEHzoTtUz94AaABAg,Joan Kelly,Double standards justice for all who suffer domestic violence this woman needs to own her abusive behaviour towards Johnny Depp,2020-11-16T01:45:30Z,0
32,UgwQ7IksZDOnXdkZ1394AaABAg,Renea exotic,"1,252,000",2020-11-14T13:52:06Z,0
33,UgyPmZmXWEySehYpYDF4AaABAg,Jay c,@Daven Axe oh holy shit that sounds terrible.,2020-11-13T16:34:48Z,0
34,UgyPmZmXWEySehYpYDF4AaABAg,Daven Axe,It's going to be a reboot with Margot Robbie as the protagonist,2020-11-13T16:24:55Z,1
35,Ugz2eVmFrabDEchohPF4AaABAg,Daven Axe,"Why not?
Xd",2020-11-13T16:28:39Z,0
36,UgxkEm-jGtoh35DJCZJ4AaABAg,TheChzoronzon,1.172.800... the trend of 10k/hour keeps strong,2020-11-13T13:37:22Z,1
37,UgxQ-LbUsNbjbJfmFG94AaABAg,Christine Musselman,I couldn't agree more. That she's hurting Jason and the Aquaman franchise really pisses me off. I would love to see Emilia Clarke as Mera. She can play badass as well as Heard and she will add real chemistry for Jason to play against.,2021-01-03T20:47:59Z,0
38,UgxQ-LbUsNbjbJfmFG94AaABAg,alex duffy,right?this movie will get destroyed if she isnt let go,2020-12-01T02:25:45Z,2
39,UgzlNgkvw76G562QCWF4AaABAg,Kia Choong Teo,"@Beth Doss she has already had lots of plastic surgery, including fillers on her cheeks and nose.",2020-12-08T13:54:53Z,0
40,UgzlNgkvw76G562QCWF4AaABAg,Karen,I thought she was 42,2020-12-01T17:58:17Z,1
41,UgzlNgkvw76G562QCWF4AaABAg,Beth Doss,And yet Johnny still looks fantastic.,2020-11-19T23:28:16Z,0
42,UgzlNgkvw76G562QCWF4AaABAg,Beth Doss,With all her drug use shell probably have to have plastic surgery before she hits 40. Has anyone noticed that she is not as pretty as she was when she met Johnny?,2020-11-19T23:27:43Z,2
