,parentId,authorDisplayName,replyComment,publishedAt,likeCount
0,UgyCmmTeZhYXSUe9yGx4AaABAg,Rob's Rules,Yes she did. So weird. It doesn’t make any sense,2021-07-28T04:10:53Z,1
1,UgyBz7IjIywOg5CBcqF4AaABAg,Rob's Rules,I wouldn’t want to touch it now. All soaking wet,2021-07-28T04:09:47Z,1
2,UgzJ6gggv9_qZzNKQnl4AaABAg,Rob's Rules,Lol 😆. Poor guy,2021-07-28T04:10:01Z,0
3,UgyjjJ2twPfxN0n0X8l4AaABAg,Carmen Castro,@Felicia Pearce tks for the link Felicia. I think the video speaks for itself 🙄😔,2021-08-01T05:05:36Z,1
4,UgyjjJ2twPfxN0n0X8l4AaABAg,Felicia Pearce,https://youtu.be/2Z-IY1mrFgA,2021-08-01T01:21:07Z,1
5,UgyYZNEll8GF4GVH0SN4AaABAg,Rob's Rules,"I understand that. Not sure his story is quite like this though, but we will see Thursday night",2021-07-28T04:07:59Z,1
6,Ugy-96HDo58BEUQ8FdV4AaABAg,Rob's Rules,"I agree. Thursday Night, we will go over what Johnny Depp has to say about all this.",2021-07-28T04:04:45Z,2
7,UgwUc5tGZgGhCSk9pdd4AaABAg,Rob's Rules,That was the whole point. I was making fun of what Amber Heard said because it is exactly what it remains me of,2021-07-28T04:09:25Z,2
8,UgzaKdudjaYNFnLbB054AaABAg,Christine Lloyd,"Totally agree with you. It seems this barn witch loves violence and to physically abuse others, she so wanted Johnny to hit her, but he didn’t raise a finger to her which further enraged her. I agree she has violent fantasies which muskyballs fulfilled for her.",2021-07-28T06:23:20Z,3
9,UgyWuaKfViL4VDWDWq54AaABAg,Rob's Rules,@Karen Zielke you too ? Lmao 🤣,2021-07-28T04:07:13Z,2
10,UgyWuaKfViL4VDWDWq54AaABAg,Rob's Rules,@Kathy Bentley lmao 🤣,2021-07-28T04:06:56Z,2
11,UgyWuaKfViL4VDWDWq54AaABAg,Rob's Rules,"@Shadoe Moon I guess it was that bad, lol 😂",2021-07-28T04:06:48Z,1
12,UgyWuaKfViL4VDWDWq54AaABAg,Rob's Rules,Lmao 🤣,2021-07-28T04:06:28Z,1
13,UgyWuaKfViL4VDWDWq54AaABAg,Karen Zielke,@Kathy Bentley Thank you so much I appreciate that 👍😁,2021-07-27T19:42:07Z,4
14,UgwYaWAdkNgU21NZm3F4AaABAg,Rob's Rules,I am not sure where she got this ridiculous story from. No way any of this adds up. She is off her rocker. She needs help,2021-07-27T16:23:12Z,4
