,parentId,authorDisplayName,replyComment,publishedAt,likeCount
0,UgzW1Dm5PRslUnT4d1x4AaABAg,Christine Lee,"They are trying to remove this petition on change.org
As it’s signatures been going up. If you feel injustice please sign https://www.change.org/p/dc-entertainment-remove-amber-heard-from-aquaman-2?redirect=false",2020-11-24T22:10:41Z,0
1,Ugz120ZnikRKiADWVDB4AaABAg,Stevie J Raw,No problem 👌,2020-11-04T08:49:44Z,0
2,UgxFhv1W_E9R_edlTkl4AaABAg,Stevie J Raw,Thanks so much Tammie and I agree there is so much support for JD and it’s fantastic. If only the MSM would get on board.,2020-10-31T20:45:25Z,1
3,UgxFhv1W_E9R_edlTkl4AaABAg,Tammie queen,"It's a long post I wanted to put all thoughts in one place. Jeannie, I think if the Counter Claim goes through you will likely be subpoenaed as her side must prove what she claims. Many haven't dropped her yet likely due to legalities as you speak of. There are clauses protecting both sides of things.",2020-10-31T01:51:09Z,0
4,UgwALnUnpyJmMsVR1B94AaABAg,Stevie J Raw,Absolutely agree Lynn. Jeannie is amazing and the petition is having a real impact.,2020-10-24T09:45:22Z,1
5,UgxugRIUEnMBFpo3NuV4AaABAg,Stevie J Raw,✊,2020-10-22T20:42:43Z,0
6,Ugxl6rj26OrZ3PRYmbF4AaABAg,Stevie J Raw,"Hmm 🤔 good idea, I think I will.",2020-10-20T12:16:43Z,1
7,Ugwn35pSM5Zp8YEM0cJ4AaABAg,Stevie J Raw,🙏,2020-10-20T12:10:57Z,1
8,UgwgMoirihGTb5lzRgp4AaABAg,Stevie J Raw,Thanks so much. I’m glad you found me and the other great channels 👌,2020-10-20T07:42:32Z,0
9,UgwFsVUzJK5lRshm3DF4AaABAg,Stevie J Raw,Jeannie was fantastic 🙏,2020-10-20T07:41:45Z,0
10,UgzmKium4z8jpawx4k14AaABAg,Stevie J Raw,"Thanks Laura, Jeannie was amazing and it would be if her team see this.",2020-10-20T00:51:14Z,1
11,Ugw7zEtk_9C3-6-n6Yd4AaABAg,Belicia Alphonso,@Stevie J Raw  thanx 🙏 so kind of you,2020-10-19T08:53:43Z,0
12,Ugw7zEtk_9C3-6-n6Yd4AaABAg,Stevie J Raw,😬 maybe I’ll do one at a different time soon.,2020-10-19T08:39:27Z,1
13,UgxAhbmXvawc08PfHpF4AaABAg,Lepplady,Hiya Honey! 😍,2020-10-19T01:21:00Z,0
14,UgxAhbmXvawc08PfHpF4AaABAg,Stevie J Raw,"Wow! Yes Jeannie was amazing, I really enjoyed the discussion.",2020-10-18T23:27:32Z,1
15,UgzD-qzYJQpmrY2wDmt4AaABAg,L Mac,Malignant psychopath I would say. Yes  and I hope Johnny wins both cases as it would be a landmark for male abuse victims who have existed for a long time but do not come forward due to not believing they will be taken seriously.   We as a society need to stop with the double standards.,2020-10-20T03:36:34Z,0
16,UgzD-qzYJQpmrY2wDmt4AaABAg,Stevie J Raw,Accurate assessment all around.,2020-10-18T23:25:39Z,0
17,Ugw9LFX9v2HPMs_7Vol4AaABAg,Stevie J Raw,✊,2020-10-18T23:24:58Z,0
18,UgyJnWxBwOvPzZlmg3x4AaABAg,Stevie J Raw,"Oh shit, was there really if ads? YouTube told me the video was restricted 🤔",2020-10-18T22:58:13Z,0
19,Ugxgr2LSwpgzoJOy_h94AaABAg,Stevie J Raw,Awesome!,2020-10-18T22:56:30Z,0
20,UgzZ5Pd1dXbjHAkBvRN4AaABAg,Stevie J Raw,😂😂🤣👌,2020-10-18T22:56:22Z,1
21,Ugz8OsSpUH7FQXFHp7x4AaABAg,Stevie J Raw,Amazing! Yes it really is great what Jeannie has been able to do.,2020-10-18T22:55:06Z,1
22,UgwJXzojmRuwKIQ2NdZ4AaABAg,Stevie J Raw,Yep well said and I agree 👏,2020-10-18T22:54:21Z,1
23,UgzYf6aEnLMxwhixbu94AaABAg,Stevie J Raw,"I hope we’re right about it, thanks for watching.😊",2020-10-18T22:53:27Z,0
24,UgyF13yRBbB6YzUVH-14AaABAg,Stevie J Raw,Absolutely! Jeannie was fantastic 👌,2020-10-18T09:07:34Z,1
25,Ugx2azL9Cim7WWF26el4AaABAg,Stevie J Raw,"Haha thanks so much, Jeannie was truly brilliant and has done so much. Can’t wait to see these snakes on the stand.",2020-10-18T09:07:13Z,0
26,UgwIg0f9-daMFpXmrJR4AaABAg,Stevie J Raw,True,2020-10-18T09:06:03Z,1
27,UgwVfI-A1wt7Xps3O_R4AaABAg,people are crazy,👍👍👍👍👍,2020-10-19T12:14:33Z,1
28,UgwVfI-A1wt7Xps3O_R4AaABAg,Stevie J Raw,😂,2020-10-18T09:04:32Z,1
29,Ugz7yzzgU1mxhXVycy94AaABAg,Animal tested Love approved,@Stevie J Raw 👊😊❤🎃,2020-10-18T14:53:58Z,0
30,Ugz7yzzgU1mxhXVycy94AaABAg,Stevie J Raw,Agree Jeannie was brilliant.,2020-10-18T09:04:23Z,1
31,UgxpA9s2MDs29WMxRuF4AaABAg,Stevie J Raw,Hopefully the 500k will be achieved soon.,2020-10-18T09:03:55Z,3
32,Ugz28m6Em_OTvXu1vM94AaABAg,chantall meyer,"Here is the link that will replace amber with another actress
http://chng.it/Rx4GZg9x",2020-10-19T13:45:51Z,2
33,Ugz28m6Em_OTvXu1vM94AaABAg,PrueWyatt Tran,"Now that make her sounds like a stalker's🤗😹🙄 who can't detached herself from him, it's weird because she said he's an abuser.",2020-10-18T23:24:27Z,4
34,Ugz28m6Em_OTvXu1vM94AaABAg,Al Jacob,"It’s interesting isn’t it, all of a sudden AH isn’t afraid of disrupting JD’s and more importantly WB’s filming schedule? 
Isn’t AquaMan2 also a WB’s flick? 
Why the sudden recklessness?",2020-10-18T11:11:40Z,4
35,Ugz28m6Em_OTvXu1vM94AaABAg,Stevie J Raw,You would think so but she just wants to mess with him at this point.,2020-10-18T09:03:30Z,5
36,UgyR32bUAQB3FcNp0nR4AaABAg,chantall meyer,"Here is the link to have her replaced
http://chng.it/Rx4GZg9x",2020-10-19T13:46:38Z,2
37,UgyR32bUAQB3FcNp0nR4AaABAg,Stevie J Raw,Exactly,2020-10-18T09:03:00Z,1
38,UgymTfBk229Cjdvukgd4AaABAg,Stevie J Raw,😂,2020-10-18T09:02:52Z,0
39,UgwlxI_peGLw9F0ITw54AaABAg,Stevie J Raw,Fingers crossed 🤞,2020-10-18T09:02:32Z,0
40,Ugz0JzkUdeSNBVx5lul4AaABAg,Linda Ellingsen,"@Baby Kate JD was out of POC before any justice was served, so I agree with Stevie on this. No matter how the outcome of the trial goes, its about justice for both woman and men to be treated equal as well, for me. Remember this is more  like an answer to JD beeing kicked out of the disney movie, although this is WB and not disney, but that dosent matter.",2020-10-19T20:25:45Z,1
41,Ugz0JzkUdeSNBVx5lul4AaABAg,chantall meyer,"Hi here is the link to have amber replaced with Emilia Clarke
http://chng.it/Rx4GZg9x",2020-10-19T13:47:32Z,0
42,Ugz0JzkUdeSNBVx5lul4AaABAg,Stevie J Raw,"Nothing, however the scales of justice are tipped he’s in her favour, JD was cancelled based on accusations alone and was severely defamed. I wish to see the scales tip the other way given that evidence exists that shows her actual guilt.
My argument, not to you, but to the general population is why the double standard?🤔",2020-10-19T00:08:19Z,1
43,Ugz0JzkUdeSNBVx5lul4AaABAg,Stevie J Raw,"I see you point for sure. The cancel culture I disagree with is when someone has an “offensive” opinion and therefore they are cancelled. Or where they are accused of a crime without evidence.
In this case the evidence is overwhelming against Amber Heard so I am comfortable with my support for JD and the petition.
Hope you have a great day.",2020-10-19T00:01:07Z,1
44,Ugz0JzkUdeSNBVx5lul4AaABAg,Stevie J Raw,Hey 👋 I’m so happy you found something meaningful in the show and thanks for signing. I think it’s so important that Johnny receive justice in both cases.,2020-10-18T09:02:12Z,1
