,parentId,authorDisplayName,replyComment,publishedAt,likeCount
0,UgxL4Ln_l0wAmlumdZl4AaABAg,So Good,You looks like big show,2020-12-25T15:47:04Z,0
1,UgxL4Ln_l0wAmlumdZl4AaABAg,joel kh,First remove her from Aquaman people,2020-09-24T08:42:54Z,0
2,UgxL4Ln_l0wAmlumdZl4AaABAg,Robert Lewis,@imnotcreative 22 YouTube has turned into an extremely biased and controlled environment. It's pretty sickening.,2020-09-07T16:04:54Z,1
3,UgxL4Ln_l0wAmlumdZl4AaABAg,Chris B,Yet someone in Hollywood will date her.,2020-09-04T13:13:20Z,0
4,UgxL4Ln_l0wAmlumdZl4AaABAg,what the?,"Good. Now time to get Depp and the whole lot of them for there crimes. Only 182,770 more sealed indictments left to.",2020-08-29T13:41:35Z,0
5,UgxbQ5asTv4QjVntKOx4AaABAg,A Hippy,"I’m sorry but Johnny Depp best mate died in his night club he’s had substance issues since the 80s. A mber is a bimbo. But abusive to her partners previously. Depp is Hollywood royalty nobody dared say he’d done bad shit before guess why? 
Because he would sue their asses. He did back in the 90s I can’t remember what happened but he got away with more than you 20-35 years olds remember. I love his films but my sister met him a few times in Hollywood and he was not polite he was not a gentleman and like many other makeup artists etc she just went to work on a different film star.",2020-09-16T20:23:49Z,0
6,Ugxu6GB4_yN5eDFSMgl4AaABAg,oneoftheseshapes,Yepppp,2021-02-17T20:37:25Z,0
7,Ugxu6GB4_yN5eDFSMgl4AaABAg,L. Foy,So true,2021-02-16T20:54:59Z,0
8,Ugxu6GB4_yN5eDFSMgl4AaABAg,Charles-Antoine Côté,that comment prdicted the future,2020-11-23T20:58:34Z,0
9,Ugw98l6Vwt9JbICnfNt4AaABAg,E. Abrahamovich,Olivia Munn is also hypocrite. I mean she dated Brett Ratner.,2020-09-18T05:49:32Z,0
10,Ugw98l6Vwt9JbICnfNt4AaABAg,Rocky Mountain Ras,"Arrrr, say hello to Davey Jones when ya see 'im , Lass.",2020-09-15T11:26:32Z,0
11,UgxCIP8njEm6OJErEe14AaABAg,Free Range,That's the truth...,2020-11-03T15:43:18Z,1
12,Ugz-0bWMrNri1oof8cV4AaABAg,cool fur u,Yep. I would as well. She just does it for me.,2020-09-06T17:49:29Z,1
13,Ugzb8LHdzzqpNcue5zB4AaABAg,Steven Higgins,MeToo was co-opted by these snakes as soon as it started trending. Remember them ridiculing Terry Crews for daring to speak out about people groping him without his consent?,2020-09-07T06:36:21Z,0
