,parentId,authorDisplayName,replyComment,publishedAt,likeCount
0,Ugz7835ExDWOB-MWC214AaABAg,Why It Matters Podcast,"Thank you! I know I haven’t made much content yet due to just busy life lol.

But I’ll get back to it soon 👍🏻",2021-05-03T23:18:41Z,1
1,UgyZiQDS7-3FKdDtYht4AaABAg,Why It Matters Podcast,Thank you! 😊,2021-04-04T13:29:12Z,0
2,Ugy_fs7bnKM7aT0Hz2B4AaABAg,Kayte 0207,So am I!!!,2021-05-15T22:29:22Z,1
3,Ugy_fs7bnKM7aT0Hz2B4AaABAg,Why It Matters Podcast,All the way! :),2021-04-02T03:56:33Z,1
4,UgwlSPcw7BBW1vWsIrh4AaABAg,Why It Matters Podcast,That’s what I’m hoping for 🤞🏻,2021-03-16T21:09:42Z,2
5,UgxsjhfiMLLm3RarM8t4AaABAg,Why It Matters Podcast,Thank you! Yeah I always give the benefit of the doubt and just give some patience in these situations. Everyone should have their time to speak and find the truth. But it’s very disheartening to see all the facts coming out and Johnny is still being destroyed publicly.,2021-03-16T16:20:26Z,1
6,Ugzyw-X45i2uJh90ILJ4AaABAg,Why It Matters Podcast,I’m a big comic book fan so I’ll definitely check it out. Life just been beyond busy :),2021-03-12T04:11:12Z,1
7,Ugzyw-X45i2uJh90ILJ4AaABAg,Olga Shishkina,"@Why It Matters Podcast that makes me happy actually, I can not recommend Birds of prey enough",2021-03-12T03:26:41Z,0
8,Ugzyw-X45i2uJh90ILJ4AaABAg,Why It Matters Podcast,"Very true, the writer they have is the woman who wrote birds of prey. Which I have not seen yet so I’m gonna have to watch that before I completely judge. I’m just a fan personally of jack sparrow so that’s just where we differ :)",2021-03-12T03:15:43Z,1
9,Ugzyw-X45i2uJh90ILJ4AaABAg,Olga Shishkina,"@Why It Matters Podcast yeah, I can see that, but why discard a cool and fresh idea but not the whole franchise than, if you think it will be lazy written anyway? Just👏 heir 👏capable 👏writers👏",2021-03-12T02:06:11Z,0
10,Ugzyw-X45i2uJh90ILJ4AaABAg,Why It Matters Podcast,"I wasn’t say you can be impactful or that there wasn’t female pirates. It’s that handling those subjects and having good writing to actually be impactful is something I don’t see them doing. Given how the films weren’t that well written to begin with. I don’t see them making this a great piece.

It’s more if me being a film fanatic and I just don’t see them trying hard enough to make that narrative well written enough if that makes sense",2021-03-12T01:58:13Z,0
11,UgyuL8KxygXjmL9l8gN4AaABAg,Why It Matters Podcast,Absolutely. I don’t know how we live in a society where people like her still have supportive fans. Just a shame,2021-03-08T17:22:34Z,0
12,UgzGbnU2c6RUurLEAul4AaABAg,Kayte 0207,"@missy lielou    I totally disagree with you.  Amber Heard is not worthy of ANY respect!  In fact, if her marriage to Johnny Depp continued, I firmly believe that she would have eventually killed him…",2021-05-15T22:27:28Z,0
13,UgzGbnU2c6RUurLEAul4AaABAg,Why It Matters Podcast,"Again she a man of assault, took the title of a hero for standing up against abuse. Only to be liar and used that position to boost her own gain. That’s down right evil. Especially to women who have actually been abused.

She’s an actress and now a high level member of the me too movement, and has been hired to be a front face to help abused women. We gave that title to a liar. 

I don’t think it’s wrong to first point out, and second even bash when a women who’s abusing the system, help destroyed Johnny Depp career and labeled him wife beater. And is playing a superhero, someone who little girls will look up too. I don’t see how I’m suppose to just act out of kindness to a women who has also said she has donated her court wins to children’s hospital, only to be caught that she kept the whole 7 million to herself. 

So she said she donated just to make herself look like a saint. And pocketed the money.",2021-03-05T22:52:55Z,1
14,UgzGbnU2c6RUurLEAul4AaABAg,missy lielou,"@Why It Matters Podcast Calling out injustice is a good thing to do but insulting so badly another human being is not. She didn´t kill anybody, she didn´t sexually abuse anybody, .....It is so easy to sit in front of a computer and say terrible things about people.",2021-03-05T19:01:55Z,0
15,UgzGbnU2c6RUurLEAul4AaABAg,Why It Matters Podcast,"She nearly cut off a guys finger, abuses someone then lord and says she was abused. She’s lied to the court. Used her position as a woman to profit off of abused women.

And you think it’s okay to just not speak? To let someone abuse their position in the public eye and destroy someone’s livelihood while she gets to still make millions? Yes she’s a human being, one that I hope gets help and changes in a healthy way. But that doesn’t mean people shouldn’t call out injustice when it’s happening.",2021-03-05T17:34:07Z,1
16,UgwWlekO4YDCky3ccyV4AaABAg,Why It Matters Podcast,"That’s very kind, thank you :)",2021-03-04T19:20:42Z,1
17,Ugxz6CqebcfTePho6zN4AaABAg,Why It Matters Podcast,Thank you :),2021-03-04T19:20:28Z,0
18,UgyHdqlbZwWbYm5g1L54AaABAg,Why It Matters Podcast,"That has not been confirmed as of yet. Those are just rumors, so take them with a grain of salt. But if you wanted my opinion I do believe WB and dc comics are weighing their options.",2021-03-02T19:29:35Z,1
19,UgwOIpDArba00aOw7tR4AaABAg,Kayte 0207,"Miss Fortune,    Wow… you are a real idiot!",2021-05-15T22:34:46Z,0
20,UgwOIpDArba00aOw7tR4AaABAg,Why It Matters Podcast,"...well you just earned first place for dumbest comment, congrats 😂",2021-02-24T04:29:26Z,0
21,Ugx7boVGPY8pyeJIhBZ4AaABAg,Why It Matters Podcast,😂 yeah that one matches for sure!,2021-02-20T17:40:31Z,0
22,UgyrGD_R5-DtgKr7LLF4AaABAg,Why It Matters Podcast,Thank you! :),2021-02-20T01:25:35Z,0
23,Ugzd1yGEqBqTiVrf3jp4AaABAg,Why It Matters Podcast,"Absolutely, I feel bad that there is a lot of good people working on aquaman 2, but I still hope it fails so WB can wise up and fire her.",2021-02-19T16:29:34Z,1
24,UgwML4S0gBNznnxGNs54AaABAg,Why It Matters Podcast,"I’m in that same boat. Johnny is pirates, and aquaman 2 isn’t worth watching if the people involved don’t even have the decency to respond to everything going on.",2021-02-17T17:39:32Z,0
25,UgzHbLriTV_p0DDd3JB4AaABAg,Why It Matters Podcast,"lol either way you say it, it means the same thing 😂 I agree though it’s sad that they can try and cancel everything except the people we actually want cancelled.",2021-02-17T11:57:09Z,1
26,UgwZuV-1lUMwxOaDu4l4AaABAg,Sean Ledden,"@Leo Whippet-Johnson What an awful experience! I've been hearing other stories like it on the Internet. And yes, this kind of double standard is all over law enforcement and the courts.",2021-02-18T13:42:37Z,0
